city,country,date,lat,lng,temp,humd,wind,cloud
Kushima,JP,1613200781,31.4583,131.2333,60.8,82,13.8,75
Yar-Sale,RU,1613200782,66.8333,70.8333,-17.3,88,4.34,100
Opuwo,NA,1613200783,-18.0607,13.84,66.49,72,3.74,58
Khani,GE,1613200784,41.9563,42.9566,42.8,81,2.3,75
Dauphin,CA,1613200786,51.1494,-100.0502,-34.6,67,8.05,1
Ahipara,NZ,1613200787,-35.1667,173.1667,66.51,73,3.67,0
Vieques,PR,1613200788,18.425,-65.8329,73.4,88,3.44,20
Codrington,AU,1613200789,-38.2667,141.9667,63.43,64,12.15,0
Yemel'yanovo,RU,1613200790,56.1681,92.6767,-2.2,46,8.95,0
Ancud,CL,1613200792,-41.8697,-73.8203,50.0,87,4.61,0
Paamiut,GL,1613200793,61.994,-49.6678,23.2,92,21.09,38
Santiago,CL,1613200694,-33.4569,-70.6483,66.0,88,5.75,99
Tame,CO,1613200796,6.461,-71.73,78.8,52,5.1,100
Waipawa,NZ,1613200797,-41.4122,175.5153,64.4,68,14.97,100
Sioux Lookout,CA,1613200798,50.1001,-91.917,-25.6,75,3.44,90
Isla Vista,US,1613200799,34.4133,-119.861,55.4,58,6.91,1
Playas,EC,1613200800,-2.6333,-80.3833,77.34,82,6.89,99
Yanam,IN,1613200802,16.7333,82.2167,87.8,48,8.05,0
Ucluelet,CA,1613200670,48.9329,-125.5528,30.99,89,3.0,100
Apatity,RU,1613200807,67.5641,33.4031,-4.36,91,0.67,78
Lethem,GY,1613200809,3.3803,-59.7968,75.52,77,11.41,58
Mazagão,BR,1613200810,-0.115,-51.2894,77.0,94,3.44,20
São João da Barra,BR,1613200812,-21.6403,-41.0511,75.92,83,15.12,100
Sydney,AU,1613200775,-33.8679,151.2073,68.0,83,19.57,75
Verkhoyansk,RU,1613200815,67.5447,133.385,-16.44,86,0.38,29
Guane,CU,1613200816,22.2025,-84.0875,74.35,85,9.78,0
Puerto Madryn,AR,1613200818,-42.7692,-65.0385,68.99,77,20.04,0
Chany,RU,1613200819,55.3121,76.7647,-8.57,88,9.6,69
Dunedin,NZ,1613200820,-45.8742,170.5036,59.0,88,11.01,2
Buenos Aires,AR,1613200577,-34.6132,-58.3772,72.0,83,6.91,75
Tautira,PF,1613200822,-17.7333,-149.15,78.8,69,5.75,75
Bilibino,RU,1613200824,68.0546,166.4372,-16.02,84,5.57,96
Aleksandro-Nevskiy,RU,1613200825,53.4751,40.2095,6.35,92,14.63,90
Guerrero Negro,MX,1613200827,27.9769,-114.0611,57.94,80,18.92,48
Aleksandrovsk-Sakhalinskiy,RU,1613200828,50.8975,142.1561,26.47,97,3.89,100
Kilindoni,TZ,1613200829,-7.9139,39.6668,82.6,79,15.77,90
Praia,CV,1613200831,14.9215,-23.5087,68.0,73,20.71,0
Kamennogorsk,RU,1613200832,60.9545,29.1339,12.0,96,2.39,73
Cabedelo,BR,1613200833,-6.9811,-34.8339,77.0,100,4.61,90
Petropavl,KZ,1613200834,54.8753,69.1628,10.4,79,11.18,90
Senanga,ZM,1613200836,-16.1167,23.2667,69.22,90,1.3,96
Rovinj,HR,1613200837,45.08,13.64,28.99,37,25.32,0
Laï,TD,1613200838,9.3952,16.2989,76.95,17,2.51,0
Sinjār,IQ,1613200839,36.3209,41.8754,58.3,44,1.61,0
Tilichiki,RU,1613200840,60.4667,166.1,-17.01,85,11.83,28
Puerto Carreño,CO,1613200841,6.189,-67.4859,79.48,62,14.38,100
Mosquera,CO,1613200843,4.7059,-74.2302,53.6,94,2.3,75
Ammon,US,1613200607,43.4696,-111.9666,12.0,72,11.5,90
Bull Savanna,JM,1613200845,17.8868,-77.5902,70.66,85,11.16,20
Owando,CG,1613200846,-0.4819,15.8999,81.14,68,5.93,57
Arivonimamo,MG,1613200847,-19.0167,47.1833,69.8,83,6.91,75
Los Llanos de Aridane,ES,1613200848,28.6585,-17.9182,62.6,67,9.22,20
Asnæs,DK,1613200849,55.8123,11.5013,24.01,88,4.0,0
Mae Chan,TH,1613200850,20.1467,99.8526,87.01,51,4.61,0
Howard Springs,AU,1613200852,-12.497,131.047,82.4,89,10.36,75
Xining,CN,1613200853,36.6167,101.7667,46.65,36,14.16,46
Shimoda,JP,1613200854,34.6667,138.95,59.0,51,11.5,40
Kinablangan,PH,1613200855,7.6947,126.5503,83.43,72,5.59,100
Rocha,UY,1613200856,-34.4833,-54.3333,67.19,96,2.21,100
Mangit,UZ,1613200857,40.5971,70.9607,50.0,53,4.61,100
Ca Mau,VN,1613200671,9.1769,105.15,84.27,55,7.94,61
Cabra,ES,1613200860,37.4725,-4.4421,41.0,100,1.14,21
Sangar,RU,1613200861,63.9242,127.4739,-4.41,92,6.76,100
Dwārka,IN,1613200862,22.2394,68.9678,77.76,47,6.93,0
Amga,RU,1613200863,60.8953,131.9608,8.62,94,3.78,100
Zinder,NE,1613200864,13.8072,8.9881,66.2,22,6.91,0
Peniche,PT,1613200865,39.3558,-9.3811,48.0,92,1.99,100
Gamba,GA,1613200866,-2.65,10.0,76.42,91,7.96,100
Shakawe,BW,1613200868,-18.3667,21.85,67.6,86,4.72,99
Karlstadt am Main,DE,1613200869,49.9603,9.7722,12.0,87,6.71,0
El Alto,PE,1613200870,-4.2714,-81.2147,74.01,78,12.12,80
Verkhniy Baskunchak,RU,1613200871,48.2256,46.7217,32.16,93,19.91,100
Sambava,MG,1613200873,-14.2667,50.1667,83.66,66,5.99,94
Davidson,US,1613200874,36.1501,-86.7833,28.4,86,9.22,90
Kargil,IN,1613200750,34.5667,76.1,15.85,70,0.89,100
Iquitos,PE,1613200877,-3.7481,-73.2472,77.0,94,1.14,75
Quatre Cocos,MU,1613200878,-20.2078,57.7625,86.0,58,13.8,75
Tāndā,IN,1613200879,26.55,82.65,78.53,33,4.74,0
Sioux Falls,US,1613200781,43.55,-96.7003,-2.2,71,6.91,90
Baní,DO,1613200615,18.2833,-70.3333,73.99,100,9.89,8
Gannan,CN,1613200882,47.9147,123.5031,22.01,83,13.29,34
Pampa,US,1613200883,35.5362,-100.9599,10.4,85,8.28,90
Saint-Pierre,RE,1613200885,-21.3393,55.4781,87.8,58,32.21,0
Lappeenranta,FI,1613200886,61.0587,28.1887,21.2,93,4.61,90
Uíge,AO,1613200887,-7.6087,15.0613,69.8,94,3.15,75
Tuckahoe,US,1613200888,37.5901,-77.5564,30.0,86,4.61,90
Kumul,CN,1613200889,42.8,93.45,45.63,51,4.5,0
Inuvik,CA,1613200890,68.3499,-133.7218,-2.2,78,3.22,100
Longyearbyen,SJ,1613200891,78.2186,15.6401,12.2,62,12.66,75
Sibolga,ID,1613200892,1.7427,98.7792,86.74,60,5.93,1
Guamúchil,MX,1613200635,25.4667,-108.1,55.0,94,3.38,0
Wamba,NG,1613200895,8.9333,8.6,75.07,19,3.65,40
Kimbe,PG,1613200897,-5.5502,150.1429,80.98,84,5.93,100
Kindu,CD,1613200898,-2.95,25.95,74.17,92,2.04,100
High Level,CA,1613200899,58.5169,-117.136,-20.2,83,3.62,1
Khāsh,IR,1613200900,28.2211,61.2158,67.37,21,2.57,0
Seoul,KR,1613200901,37.5683,126.9778,60.8,35,8.05,0
Laguna,US,1613200905,38.421,-121.4238,52.0,87,5.75,90
Macao,MO,1613200906,22.2006,113.5461,71.6,68,4.61,40
Dowa,MW,1613200907,-13.654,33.9375,68.0,94,11.5,75
Nizhniye Sergi,RU,1613200908,56.6614,59.3033,31.35,97,8.32,100
Esmeraldas,BR,1613200909,-19.7625,-44.3139,68.0,94,3.44,0
Zirc,HU,1613200910,47.2636,17.8737,19.0,79,11.5,0
Madimba,TZ,1613200911,-10.4,40.3333,82.4,89,16.11,75
Zirándaro de los Chávez,MX,1613200913,18.45,-100.9833,65.28,58,2.93,0
Santiago Tuxtla,MX,1613200914,18.4667,-95.3,65.3,95,6.35,100
Port Macquarie,AU,1613200915,-31.4333,152.9167,71.6,94,4.61,90
Uglegorsk,RU,1613200916,49.0833,142.0333,28.44,97,4.25,39
Bacolod City,PH,1613200917,10.6667,122.95,84.04,74,12.17,88
Kutum,SD,1613200918,14.2,24.6667,69.44,23,15.21,0
Sfântu Gheorghe,RO,1613200920,45.8667,25.7833,12.99,76,13.0,99
Sinnai,IT,1613200921,39.3042,9.2036,54.0,100,6.91,40
Ponta Delgada,PT,1613200923,37.7333,-25.6667,60.01,94,18.41,40
Nogliki,RU,1613200924,51.8333,143.1667,24.3,98,4.61,100
Miracatu,BR,1613200926,-24.2814,-47.4597,71.65,94,1.19,100
Kościerzyna,PL,1613200927,54.1223,17.9812,30.99,80,13.8,75
Jiuquan,CN,1613200929,39.7432,98.5174,43.5,51,3.13,99
Galle,LK,1613200847,6.0367,80.217,82.94,70,5.84,51
Sabang,ID,1613200822,5.8933,95.3214,83.66,75,11.95,0
Safita,SY,1613200932,34.8205,36.1153,64.0,48,5.97,38
Upata,VE,1613200933,8.0086,-62.3989,69.42,87,6.44,97
Chegdomyn,RU,1613200934,51.1167,133.0167,19.04,92,4.0,100
Tarragona,ES,1613200935,41.129,1.249,53.01,93,6.91,20
Nanortalik,GL,1613200936,60.1432,-45.2371,34.66,81,11.12,100
Kuruman,ZA,1613200938,-27.4524,23.4325,80.01,62,5.23,100
Rosa Zarate,EC,1613200939,0.3333,-79.4667,73.15,90,1.12,94
Londiani,KE,1613200940,-0.165,35.5909,58.17,84,5.12,100
Mayo,US,1613200941,38.8876,-76.5119,30.99,55,4.61,90
Tomatlán,MX,1613200942,19.9333,-105.25,58.1,89,3.0,0
Andria,IT,1613200943,41.2306,16.2909,39.2,93,6.91,75
Athabasca,CA,1613200944,54.7169,-113.2854,-5.8,77,3.44,59
Mbandaka,CD,1613200945,0.0487,18.2603,81.82,65,3.94,25
Hargeisa,SO,1613200947,9.56,44.065,72.57,22,8.46,0
Kieta,PG,1613200948,-6.2167,155.6333,82.02,79,8.79,100
Isangel,VU,1613200949,-19.55,169.2667,80.6,83,6.44,75
Northam,GB,1613200950,51.0333,-4.2167,36.0,81,10.0,100
Dvorichna,UA,1613200951,49.8496,37.6857,13.96,88,18.95,100
Manzhouli,CN,1613200952,49.6,117.4333,-1.82,85,17.31,0
Pershotravneve,UA,1613200953,51.3929,28.8684,8.83,94,17.6,100
Nouakchott,MR,1613200954,18.0858,-15.9785,57.2,23,10.36,0
Novoseleznëvo,RU,1613200956,55.6821,69.2056,6.35,94,8.95,100
Luján,AR,1613200957,-34.5703,-59.105,66.99,99,5.01,93
Jiangkou,CN,1613200958,25.4872,119.1986,66.2,63,20.13,0
Barra de Tecoanapa,MX,1613200959,16.5167,-98.75,71.15,88,4.72,5
Buala,SB,1613200960,-8.145,159.5921,81.63,82,9.1,100
Hakui,JP,1613200961,36.8833,136.7833,62.6,42,4.61,20
Alta Floresta,BR,1613200965,-9.8756,-56.0861,71.31,99,1.43,100
Uzhhorod,UA,1613200966,48.6167,22.3,15.8,67,4.47,0
Kapiri Mposhi,ZM,1613200967,-13.9652,28.6809,66.51,95,5.79,100
Smirnykh,RU,1613200968,49.75,142.8333,25.41,98,1.9,99
Korla,CN,1613200812,41.7597,86.1469,46.08,51,6.29,0
Mtwara,TZ,1613200971,-10.2667,40.1833,82.4,89,16.11,75
Najrān,SA,1613200972,17.4924,44.1277,71.6,21,4.61,0
Shelburne,CA,1613200973,44.0787,-80.2041,1.0,84,4.32,99
Davila,PH,1613200974,18.4726,120.5763,82.4,61,10.36,20
Richards Bay,ZA,1613200975,-28.783,32.0377,80.64,82,2.84,93
Tromsø,NO,1613200976,69.6496,18.957,24.8,63,13.8,40
Bougouni,ML,1613200977,11.417,-7.479,70.66,21,4.21,0
Egvekinot,RU,1613200978,66.3167,-179.1667,-17.73,88,19.91,100
Balyqshy,KZ,1613200981,47.0667,51.8667,39.2,65,17.9,0
Vila Velha,BR,1613200696,-20.3297,-40.2925,73.99,94,3.44,0
Kāmyārān,IR,1613200983,34.7956,46.9355,48.2,46,4.81,0
Bereket,TM,1613200984,39.2446,55.5154,61.18,38,13.6,0
Hokitika,NZ,1613200985,-42.7167,170.9667,58.71,81,5.95,93
Manado,ID,1613200988,1.487,124.8455,75.2,94,1.14,40
Clarence Town,AU,1613200989,-32.5833,151.7833,70.0,100,12.66,90
Jacqueville,CI,1613200990,5.2052,-4.4146,82.4,89,8.05,20
Nantucket,US,1613200893,41.2835,-70.0995,28.4,69,6.91,90
São Filipe,CV,1613200992,14.8961,-24.4956,72.18,63,16.93,0
Sefophe,BW,1613200994,-22.1833,27.9667,78.8,69,5.79,20
Okha,RU,1613200995,53.5739,142.9478,16.34,97,3.33,92
Kostanay,KZ,1613200996,53.1667,63.5833,24.8,86,11.18,0
Zhigansk,RU,1613200997,66.7697,123.3711,-8.48,89,11.41,100
Fukuechō,JP,1613200998,32.6881,128.8419,66.2,45,9.22,0
San Quintín,MX,1613200999,30.4833,-115.95,55.49,82,10.87,0
Puerto Escondido,MX,1613201000,15.85,-97.0667,74.19,75,2.98,0
Arrondissement de Lons-le-Saunier,FR,1613201001,46.75,5.75,25.0,63,14.97,90
Damietta,EG,1613201002,31.4165,31.8133,60.8,77,5.75,0
Nkowakowa,ZA,1613201005,-23.8878,30.2871,66.2,77,12.66,75
Rochegda,RU,1613201006,62.8,43.25,-8.88,89,1.86,0
Romitan,UZ,1613201007,39.9343,64.3814,57.2,54,6.91,0
Aitape,PG,1613200988,-3.1374,142.3475,81.36,75,7.27,100
Show Low,US,1613201009,34.2542,-110.0298,28.4,80,6.91,1
Porto-Novo,BJ,1613200875,6.4965,2.6036,84.2,84,6.91,40
